chain_id,dex_id,factory_address,geckoterminal_url,name,router_address
137,,,https://www.geckoterminal.com/polygon_pos/honeyswap_polygon/pools,Honeyswap (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/satin-exchange/pools,Satin Exchange,
137,,,https://www.geckoterminal.com/polygon_pos/tetuswap/pools,TetuSwap,
137,,,https://www.geckoterminal.com/polygon_pos/nachoswap/pools,NachoSwap,
137,,,https://www.geckoterminal.com/polygon_pos/greenhouse_dex/pools,Greenhouse DEX,
137,,,https://www.geckoterminal.com/polygon_pos/meshswap/pools,MeshSwap,
137,,,https://www.geckoterminal.com/polygon_pos/algebra_finance/pools,Algebra Finance,
137,,,https://www.geckoterminal.com/polygon_pos/auraswap/pools,AuraSwap,
137,,,https://www.geckoterminal.com/polygon_pos/safemoonswap-polygon/pools,SafemoonSwap (Polygon),
137,,,https://www.geckoterminal.com/polygon_pos/spice_trade_polygon/pools,Spice Trade (Polygon),
199,,,https://www.geckoterminal.com/bttc/intercroneswap-bittorent/pools,InterCroneSwap (Bittorent),
199,,,https://www.geckoterminal.com/bttc/kyberswap_classic_bttc/pools,KyberSwap Classic (BitTorrent),
199,,,https://www.geckoterminal.com/bttc/torrswap/pools,TORRSwap,
199,,,https://www.geckoterminal.com/bttc/elk_finance_bittorrent/pools,Elk Finance (Bittorrent),
199,,,https://www.geckoterminal.com/bttc/justmoney_bttc/pools,Justmoney (BitTorrent),
248,,,https://www.geckoterminal.com/oasys/tealswap/pools,Tealswap,
250,,,https://www.geckoterminal.com/ftm/spookyswap/pools,SpookySwap,
250,,,https://www.geckoterminal.com/ftm/beethoven_x_fantom/pools,Beethoven X (Fantom),
250,,,https://www.geckoterminal.com/ftm/equalizer/pools,Equalizer,
250,,,https://www.geckoterminal.com/ftm/curve_ftm/pools,Curve (Fantom),
250,,,https://www.geckoterminal.com/ftm/wigoswap/pools,WigoSwap,
250,,,https://www.geckoterminal.com/ftm/tomb_swap_fantom/pools,Tomb Swap (Fantom),
250,,,https://www.geckoterminal.com/ftm/spiritswap/pools,SpiritSwap,
250,,,https://www.geckoterminal.com/ftm/spiritswap_v2/pools,SpiritSwap V2,
250,,,https://www.geckoterminal.com/ftm/solidly/pools,Solidly (Fantom),
250,,,https://www.geckoterminal.com/ftm/sushiswap_fantom/pools,Sushiswap (Fantom),
250,,,https://www.geckoterminal.com/ftm/fraxswap_fantom/pools,Fraxswap (Fantom),
250,,,https://www.geckoterminal.com/ftm/darkknight/pools,DarkKnight,
250,,,https://www.geckoterminal.com/ftm/yoshi_exchange_ftm/pools,Yoshi.exchange (Fantom),
250,,,https://www.geckoterminal.com/ftm/soulswap/pools,SoulSwap,
250,,,https://www.geckoterminal.com/ftm/protofi/pools,ProtoFi,
250,,,https://www.geckoterminal.com/ftm/hyperjump_ftm/pools,HyperJump (Fantom),
250,,,https://www.geckoterminal.com/ftm/fbomb_finance/pools,Fbomb Finance,
250,,,https://www.geckoterminal.com/ftm/excalibur/pools,Excalibur,
250,,,https://www.geckoterminal.com/ftm/elk_finance_ftm/pools,Elk Finance (Fantom),
250,,,https://www.geckoterminal.com/ftm/paintswap/pools,PaintSwap,
250,,,https://www.geckoterminal.com/ftm/wingswap/pools,WingSwap,
250,,,https://www.geckoterminal.com/ftm/morpheus_swap/pools,Morpheus Swap,
250,,,https://www.geckoterminal.com/ftm/jetswap_fantom/pools,Jetswap (Fantom),
250,,,https://www.geckoterminal.com/ftm/kyberswap_elastic_fantom/pools,Kyberswap Elastic (Fantom),
250,,,https://www.geckoterminal.com/ftm/archly-ftm/pools,Archly (FTM),
250,,,https://www.geckoterminal.com/ftm/magikswap/pools,MagikSwap,
