address,chain_id,decimals,dex_id,name,pair_id,symbol
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
,1501795822,,1245,,11258,
0x64f4f8cfe10841ff985d2ee6256c7ad5d0beda7e,42161,,1141,PYESwap,12784,PYES
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,42161,,1141,USD Coin (Arb1),12784,USDC
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
,42161,,1141,,12784,
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,,1245,Wrapped OMNIA,11259,WOMNIA
0xb2a982b04160ab56d4c2e4ab02554980329d2b71,1501795822,,1245,Sphynx Omnia,11259,SPHYNX
,42161,,1141,,12784,
,42161,,1141,,12784,
,1501795822,,1245,,11259,
,42161,,1141,,12784,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
,1501795822,,1245,,11259,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,42161,,1141,Wrapped Ether,12785,WETH
0x6694340fc020c5e6b96567843da2df01b2ce1eb6,42161,,1141,StargateToken,12785,STG
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,,1245,Wrapped OMNIA,11260,WOMNIA
0xb8495e37af913e199fba4efe65bcdd0e6df5558f,1501795822,,1245,BrickVerse,11260,BRICK
,42161,,1141,,12785,
,42161,,1141,,12785,
,42161,,1141,,12785,
,1501795822,,1245,,11260,
,42161,,1141,,12785,
,42161,,1141,,12785,
,1501795822,,1245,,11260,
,1501795822,,1245,,11260,
,1501795822,,1245,,11260,
,1501795822,,1245,,11260,
,1501795822,,1245,,11260,
,1501795822,,1245,,11260,
0x4f513ad177b06590060d1edd846f4dcaa4aafa53,42161,,1141,ORDI,12786,ORDI
0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,42161,,1141,USD Coin (Arb1),12786,USDC
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
,42161,,1141,,12786,
0x7806cf1bc745be63762f1cc3c16311928d3f9850,1501795822,,1245,Infinity,11261,INFINITY
0x80b6f432d3acd773803ffbe0150ca7412d67ca76,1501795822,,1245,Wrapped OMNIA,11261,WOMNIA
,42161,,1141,,12786,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
,1501795822,,1245,,11261,
